,day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW
0,2014-01-01,,,,,,,,,,0.34,3.4000000000000004
1,2014-01-02,,,,,,,,,,0.0,0.0
2,2014-01-03,,,,,,,,,,0.0,0.0
3,2014-01-04,,,,,,,,,,0.0,0.0
4,2014-01-05,,,,,,,,,,0.0,0.0
5,2014-01-06,,,,,,,,,,0.0,0.0
6,2014-01-07,,,,,,,,,,0.0,0.0
7,2014-01-08,,,,,,,,,,0.0,0.0
8,2014-01-09,,,,,,,,,,0.0,0.0
9,2014-01-10,,,,,,,,,,0.0,0.0
10,2014-01-11,,,,,,,,,,0.0,0.0
11,2014-01-12,,,,,,,,,,0.0,0.0
12,2014-01-13,,,,,,,,,,0.0,0.0
13,2014-01-14,,,,,,,,,,0.0,0.0
14,2014-01-15,,,,,,,,,,0.0,0.0
15,2014-01-16,,,,,,,,,,0.0,0.0
16,2014-01-17,,,,,,,,,,0.0,0.0
17,2014-01-18,,,,,,,,,,0.0,0.0
18,2014-01-19,,,,,,,,,,0.0,0.0
19,2014-01-20,,,,,,,,,,0.0,0.0
20,2014-01-21,,,,,,,,,,0.0,0.0
21,2014-01-22,,,,,,,,,,0.0,0.0
22,2014-01-23,,,,,,,,,,0.0,0.0
23,2014-01-24,,,,,,,,,,0.0,0.0
24,2014-01-25,,,,,,,,,,0.0,0.0
25,2014-01-26,,,,,,,,,,0.0,0.0
26,2014-01-27,,,,,,,,,,0.0,0.0
27,2014-01-28,,,,,,,,,,0.0,0.0
28,2014-01-29,,,,,,,,,,0.0,0.0
29,2014-01-30,,,,,,,,,,0.0,0.0
30,2014-01-31,,,,,,,,,,0.0,0.0
31,2014-02-01,,,,,,,,,,0.0,0.0
32,2014-02-02,,,,,,,,,,0.0,0.0
33,2014-02-03,,,,,,,,,,0.0,0.0
34,2014-02-04,,,,,,,,,,0.0,0.0
35,2014-02-05,,,,,,,,,,0.0,0.0
36,2014-02-06,,,,,,,,,,0.0,0.0
37,2014-02-07,,,,,,,,,,0.0,0.0
38,2014-02-08,,,,,,,,,,0.0,0.0
39,2014-02-09,,,,,,,,,,0.0,0.0
40,2014-02-10,,,,,,,,,,0.0,0.0
41,2014-02-11,,,,,,,,,,0.0,0.0
42,2014-02-12,,,,,,,,,,0.0,0.0
43,2014-02-13,,,,,,,,,,0.0,0.0
44,2014-02-14,,,,,,,,,,0.0,0.0
45,2014-02-15,,,,,,,,,,0.0,0.0
46,2014-02-16,,,,,,,,,,0.0,0.0
47,2014-02-17,,,,,,,,,,0.0,0.0
48,2014-02-18,,,,,,,,,,0.0,0.0
49,2014-02-19,,,,,,,,,,0.0,0.0
50,2014-02-20,,,,,,,,,,0.0,0.0
51,2014-02-21,,,,,,,,,,0.0,0.0
52,2014-02-22,,,,,,,,,,0.0,0.0
53,2014-02-23,,,,,,,,,,0.0,0.0
54,2014-02-24,,,,,,,,,,0.0,0.0
55,2014-02-25,,,,,,,,,,0.0,0.0
56,2014-02-26,,,,,,,,,,0.0,0.0
57,2014-02-27,,,,,,,,,,0.0,0.0
58,2014-02-28,,,,,,,,,,0.0,0.0
59,2014-03-01,,,,,,,,,,0.0,0.0
60,2014-03-02,,,,,,,,,,0.0,0.0
61,2014-03-03,,,,,,,,,,0.0,0.0
62,2014-03-04,,,,,,,,,,0.0,0.0
63,2014-03-05,,,,,,,,,,0.0,0.0
64,2014-03-06,,,,,,,,,,0.0,0.0
65,2014-03-07,,,,,,,,,,0.0,0.0
66,2014-03-08,,,,,,,,,,0.0,0.0
67,2014-03-09,,,,,,,,,,0.0,0.0
68,2014-03-10,,,,,,,,,,0.0,0.0
69,2014-03-11,,,,,,,,,,0.0,0.0
70,2014-03-12,,,,,,,,,,0.0,0.0
71,2014-03-13,,,,,,,,,,0.0,0.0
72,2014-03-14,,,,,,,,,,0.0,0.0
73,2014-03-15,,,,,,,,,,0.0,0.0
74,2014-03-16,,,,,,,,,,0.0,0.0
75,2014-03-17,,,,,,,,,,0.0,0.0
76,2014-03-18,,,,,,,,,,0.0,0.0
77,2014-03-19,,,,,,,,,,0.0,0.0
78,2014-03-20,,,,,,,,,,0.0,0.0
79,2014-03-21,,,,,,,,,,0.0,0.0
80,2014-03-22,,,,,,,,,,0.0,0.0
81,2014-03-23,,,,,,,,,,0.0,0.0
82,2014-03-24,,,,,,,,,,0.0,0.0
83,2014-03-25,,,,,,,,,,0.0,0.0
84,2014-03-26,,,,,,,,,,0.0,0.0
85,2014-03-27,,,,,,,,,,0.0,0.0
86,2014-03-28,,,,,,,,,,0.0,0.0
87,2014-03-29,,,,,,,,,,0.0,0.0
88,2014-03-30,,,,,,,,,,0.0,0.0
89,2014-03-31,,,,,,,,,,0.0,0.0
90,2014-04-01,0.0,0.048,24.0,0.0,24.0,0.0,36.0,0.0,10.0,0.0,0.0
91,2014-04-02,0.022363636363636363,0.046560000000000004,24.0,0.0,24.0,0.0,36.0,0.0,10.0,0.0,0.0
92,2014-04-03,0.04690909090909091,0.04516320000000001,24.0,0.0,24.0,0.0,36.0,0.0,10.0,0.0,0.0
93,2014-04-04,0.07018181818181818,0.043808304000000006,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
94,2014-04-05,0.09663636363636363,0.04249405488000001,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
95,2014-04-06,0.12345454545454546,0.04121923323360001,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
96,2014-04-07,0.154,0.03998265623659201,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
97,2014-04-08,0.18736363636363637,0.038783176549494244,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
98,2014-04-09,0.22209090909090912,0.03761968125300942,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
99,2014-04-10,0.26263636363636367,0.03649109081541914,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
100,2014-04-11,0.2993636363636364,0.035396358090956564,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
101,2014-04-12,0.3281818181818182,0.034334467348227864,24.0,0.0,24.0,0.0,36.0,0.0,10.0,0.0,0.0
102,2014-04-13,0.35254545454545455,0.033304433327781026,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
103,2014-04-14,0.3781818181818182,0.0323053003279476,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
104,2014-04-15,0.4042727272727273,0.03133614131810917,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
105,2014-04-16,0.4300909090909091,0.030396057078565897,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
106,2014-04-17,0.4586363636363636,0.02948417536620892,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
107,2014-04-18,0.4845454545454545,0.02859965010522265,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
108,2014-04-19,0.5083636363636364,0.02774166060206597,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
109,2014-04-20,0.5338181818181819,0.026909410784003992,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
110,2014-04-21,0.5576363636363637,0.026102128460483872,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
111,2014-04-22,0.5813636363636364,0.02531906460666936,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
112,2014-04-23,0.6083636363636364,0.024559492668469275,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
113,2014-04-24,0.6362727272727273,0.023822707888415198,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
114,2014-04-25,0.6624545454545455,0.02310802665176274,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
115,2014-04-26,0.686,0.02241478585220986,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
116,2014-04-27,0.7139090909090909,0.021742342276643567,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
117,2014-04-28,0.7421818181818182,0.021090072008344257,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
118,2014-04-29,0.7723636363636364,0.020457369848093928,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
119,2014-04-30,0.804,0.019843648752651113,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
120,2014-05-01,0.8364545454545456,0.01924833929007158,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
121,2014-05-02,0.8695454545454546,0.018670889111369434,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
122,2014-05-03,0.9020909090909092,0.01811076243802835,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
123,2014-05-04,0.9360909090909092,0.0175674395648875,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
124,2014-05-05,0.9724545454545456,0.017040416377940872,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
125,2014-05-06,1.0,0.016529203886602645,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
126,2014-05-07,1.0378181818181818,0.016033327770004564,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
127,2014-05-08,1.077090909090909,0.015552327936904429,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
128,2014-05-09,1.1130909090909091,0.015085758098797296,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
129,2014-05-10,1.1458181818181818,0.014633185355833377,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
130,2014-05-11,1.1785454545454546,0.014194189795158374,24.000000000000004,0.0,24.000000000000004,0.0,36.0,0.0,10.0,0.0,0.0
131,2014-05-12,1.2122727272727274,0.013768364101303623,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
132,2014-05-13,1.2504545454545455,0.013355313178264515,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
133,2014-05-14,1.292909090909091,0.01295465378291658,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
134,2014-05-15,1.3381818181818184,0.012566014169429084,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
135,2014-05-16,1.3852727272727274,0.012189033744346212,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
136,2014-05-17,1.4269090909090911,0.011823362732015825,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
137,2014-05-18,1.4669090909090912,0.01146866185005535,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
138,2014-05-19,1.5054545454545456,0.011124601994553689,24.000000000000007,0.0,24.000000000000007,0.0,36.0,0.0,10.0,0.0,0.0
139,2014-05-20,1.5443636363636366,0.01079086393471708,24.00000000000001,0.0,24.00000000000001,0.0,36.0,0.0,10.0,0.0,0.0
140,2014-05-21,1.5815454545454548,0.010467138016675566,24.000000000000007,0.0,24.000000000000007,0.0,36.00000000000001,0.0,10.0,0.0,0.0
141,2014-05-22,1.6139090909090912,0.010153123876175299,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
142,2014-05-23,1.651636363636364,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
143,2014-05-24,1.689636363636364,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
144,2014-05-25,1.726545454545455,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
145,2014-05-26,1.7662727272727279,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
146,2014-05-27,1.8079090909090916,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
147,2014-05-28,1.8537272727272733,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
148,2014-05-29,1.8970909090909096,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.0,0.0,10.0,0.0,0.0
149,2014-05-30,1.9380000000000006,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
150,2014-05-31,1.9769090909090916,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
151,2014-06-01,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
152,2014-06-02,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
153,2014-06-03,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
154,2014-06-04,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
155,2014-06-05,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
156,2014-06-06,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
157,2014-06-07,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
158,2014-06-08,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
159,2014-06-09,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
160,2014-06-10,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
161,2014-06-11,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
162,2014-06-12,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
163,2014-06-13,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
164,2014-06-14,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
165,2014-06-15,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
166,2014-06-16,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
167,2014-06-17,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
168,2014-06-18,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
169,2014-06-19,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
170,2014-06-20,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
171,2014-06-21,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
172,2014-06-22,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
173,2014-06-23,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
174,2014-06-24,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
175,2014-06-25,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
176,2014-06-26,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
177,2014-06-27,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
178,2014-06-28,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
179,2014-06-29,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
180,2014-06-30,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
181,2014-07-01,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.00000000000001,0.0,10.0,0.0,0.0
182,2014-07-02,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.000000000000014,0.0,10.0,0.0,0.0
183,2014-07-03,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.000000000000014,0.0,10.0,0.0,0.0
184,2014-07-04,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.000000000000014,0.0,10.0,0.0,0.0
185,2014-07-05,2.0,0.0,24.00000000000001,0.0,24.00000000000001,0.0,36.000000000000014,0.0,10.0,0.0,0.0
