,day,DVS,LAI,TAGP,TWSO,TWLV,TWST,TWRT,TRA,RD,SM,WWLOW
0,2014-01-01,,,,,,,,,,0.34,3.4000000000000004
1,2014-01-02,,,,,,,,,,0.0,0.0
2,2014-01-03,,,,,,,,,,0.0,0.0
3,2014-01-04,,,,,,,,,,0.0,0.0
4,2014-01-05,,,,,,,,,,0.0,0.0
5,2014-01-06,,,,,,,,,,0.0,0.0
6,2014-01-07,,,,,,,,,,0.0,0.0
7,2014-01-08,,,,,,,,,,0.0,0.0
8,2014-01-09,,,,,,,,,,0.0,0.0
9,2014-01-10,,,,,,,,,,0.0,0.0
10,2014-01-11,,,,,,,,,,0.0,0.0
11,2014-01-12,,,,,,,,,,0.0,0.0
12,2014-01-13,,,,,,,,,,0.0,0.0
13,2014-01-14,,,,,,,,,,0.0,0.0
14,2014-01-15,,,,,,,,,,0.0,0.0
15,2014-01-16,,,,,,,,,,0.0,0.0
16,2014-01-17,,,,,,,,,,0.0,0.0
17,2014-01-18,,,,,,,,,,0.0,0.0
18,2014-01-19,,,,,,,,,,0.0,0.0
19,2014-01-20,,,,,,,,,,0.0,0.0
20,2014-01-21,,,,,,,,,,0.0,0.0
21,2014-01-22,,,,,,,,,,0.0,0.0
22,2014-01-23,,,,,,,,,,0.0,0.0
23,2014-01-24,,,,,,,,,,0.0,0.0
24,2014-01-25,,,,,,,,,,0.0,0.0
25,2014-01-26,,,,,,,,,,0.0,0.0
26,2014-01-27,,,,,,,,,,0.0,0.0
27,2014-01-28,,,,,,,,,,0.0,0.0
28,2014-01-29,,,,,,,,,,0.0,0.0
29,2014-01-30,,,,,,,,,,0.0,0.0
30,2014-01-31,,,,,,,,,,0.0,0.0
31,2014-02-01,,,,,,,,,,0.0,0.0
32,2014-02-02,,,,,,,,,,0.0,0.0
33,2014-02-03,,,,,,,,,,0.0,0.0
34,2014-02-04,,,,,,,,,,0.0,0.0
35,2014-02-05,,,,,,,,,,0.0,0.0
36,2014-02-06,,,,,,,,,,0.0,0.0
37,2014-02-07,,,,,,,,,,0.0,0.0
38,2014-02-08,,,,,,,,,,0.0,0.0
39,2014-02-09,,,,,,,,,,0.0,0.0
40,2014-02-10,,,,,,,,,,0.0,0.0
41,2014-02-11,,,,,,,,,,0.0,0.0
42,2014-02-12,,,,,,,,,,0.0,0.0
43,2014-02-13,,,,,,,,,,0.0,0.0
44,2014-02-14,,,,,,,,,,0.0,0.0
45,2014-02-15,,,,,,,,,,0.0,0.0
46,2014-02-16,,,,,,,,,,0.0,0.0
47,2014-02-17,,,,,,,,,,0.0,0.0
48,2014-02-18,,,,,,,,,,0.0,0.0
49,2014-02-19,,,,,,,,,,0.0,0.0
50,2014-02-20,,,,,,,,,,0.0,0.0
51,2014-02-21,,,,,,,,,,0.0,0.0
52,2014-02-22,,,,,,,,,,0.0,0.0
53,2014-02-23,,,,,,,,,,0.0,0.0
54,2014-02-24,,,,,,,,,,0.0,0.0
55,2014-02-25,,,,,,,,,,0.0,0.0
56,2014-02-26,,,,,,,,,,0.0,0.0
57,2014-02-27,,,,,,,,,,0.0,0.0
58,2014-02-28,,,,,,,,,,0.0,0.0
59,2014-03-01,,,,,,,,,,0.0,0.0
60,2014-03-02,,,,,,,,,,0.0,0.0
61,2014-03-03,,,,,,,,,,0.0,0.0
62,2014-03-04,,,,,,,,,,0.0,0.0
63,2014-03-05,,,,,,,,,,0.0,0.0
64,2014-03-06,,,,,,,,,,0.0,0.0
65,2014-03-07,,,,,,,,,,0.0,0.0
66,2014-03-08,,,,,,,,,,0.0,0.0
67,2014-03-09,,,,,,,,,,0.0,0.0
68,2014-03-10,,,,,,,,,,0.0,0.0
69,2014-03-11,,,,,,,,,,0.0,0.0
70,2014-03-12,,,,,,,,,,0.0,0.0
71,2014-03-13,,,,,,,,,,0.0,0.0
72,2014-03-14,,,,,,,,,,0.0,0.0
73,2014-03-15,,,,,,,,,,0.0,0.0
74,2014-03-16,,,,,,,,,,0.0,0.0
75,2014-03-17,,,,,,,,,,0.0,0.0
76,2014-03-18,,,,,,,,,,0.0,0.0
77,2014-03-19,,,,,,,,,,0.0,0.0
78,2014-03-20,,,,,,,,,,0.0,0.0
79,2014-03-21,,,,,,,,,,0.0,0.0
80,2014-03-22,,,,,,,,,,0.0,0.0
81,2014-03-23,,,,,,,,,,0.0,0.0
82,2014-03-24,,,,,,,,,,0.0,0.0
83,2014-03-25,,,,,,,,,,0.0,0.0
84,2014-03-26,,,,,,,,,,0.0,0.0
85,2014-03-27,,,,,,,,,,0.0,0.0
86,2014-03-28,,,,,,,,,,0.0,0.0
87,2014-03-29,,,,,,,,,,0.0,0.0
88,2014-03-30,,,,,,,,,,0.0,0.0
89,2014-03-31,,,,,,,,,,0.0,0.0
90,2014-04-01,,,,,,,,,,0.0,0.0
91,2014-04-02,,,,,,,,,,0.0,0.0
92,2014-04-03,,,,,,,,,,0.0,0.0
93,2014-04-04,,,,,,,,,,0.0,0.0
94,2014-04-05,,,,,,,,,,0.0,0.0
95,2014-04-06,,,,,,,,,,0.0,0.0
96,2014-04-07,,,,,,,,,,0.0,0.0
97,2014-04-08,,,,,,,,,,0.0,0.0
98,2014-04-09,,,,,,,,,,0.0,0.0
99,2014-04-10,,,,,,,,,,0.0,0.0
100,2014-04-11,,,,,,,,,,0.0,0.0
101,2014-04-12,,,,,,,,,,0.0,0.0
102,2014-04-13,,,,,,,,,,0.0,0.0
103,2014-04-14,,,,,,,,,,0.0,0.0
104,2014-04-15,,,,,,,,,,0.0,0.0
105,2014-04-16,,,,,,,,,,0.0,0.0
106,2014-04-17,,,,,,,,,,0.0,0.0
107,2014-04-18,,,,,,,,,,0.0,0.0
108,2014-04-19,,,,,,,,,,0.0,0.0
109,2014-04-20,-0.1,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
110,2014-04-21,-0.0949,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
111,2014-04-22,-0.08985,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
112,2014-04-23,-0.083,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
113,2014-04-24,-0.07565000000000001,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
114,2014-04-25,-0.06925,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
115,2014-04-26,-0.06430000000000001,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
116,2014-04-27,-0.05695000000000001,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
117,2014-04-28,-0.049400000000000006,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
118,2014-04-29,-0.0408,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
119,2014-04-30,-0.031400000000000004,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
120,2014-05-01,-0.02155,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
121,2014-05-02,-0.011349999999999999,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
122,2014-05-03,-0.00145,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
123,2014-05-04,0.0,0.038720000000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
124,2014-05-05,0.011111111111111112,0.037558400000000006,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
125,2014-05-06,0.022333333333333337,0.036431648000000004,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
126,2014-05-07,0.03433333333333334,0.03533869856,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
127,2014-05-08,0.047222222222222235,0.0342785376032,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
128,2014-05-09,0.05811111111111113,0.03325018147510401,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
129,2014-05-10,0.06700000000000002,0.032252676030850885,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
130,2014-05-11,0.07588888888888891,0.03128509574992536,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
131,2014-05-12,0.0853888888888889,0.0303465428774276,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
132,2014-05-13,0.09761111111111112,0.029436146591104773,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
133,2014-05-14,0.11244444444444446,0.02855306219337163,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
134,2014-05-15,0.129,0.02769647032757048,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
135,2014-05-16,0.14566666666666667,0.026865576217743364,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
136,2014-05-17,0.16,0.02605960893121106,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
137,2014-05-18,0.17333333333333334,0.025277820663274726,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
138,2014-05-19,0.1857777777777778,0.024519486043376486,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
139,2014-05-20,0.19844444444444445,0.023783901462075194,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
140,2014-05-21,0.21005555555555555,0.02307038441821294,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
141,2014-05-22,0.2187222222222222,0.02237827288566655,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
142,2014-05-23,0.23066666666666666,0.021706924699096554,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
143,2014-05-24,0.24277777777777776,0.021055716958123655,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
144,2014-05-25,0.2542222222222222,0.020424045449379948,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
145,2014-05-26,0.26738888888888884,0.019811324085898547,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
146,2014-05-27,0.28172222222222215,0.01921698436332159,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
147,2014-05-28,0.2983888888888888,0.018640474832421945,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
148,2014-05-29,0.3137777777777777,0.01808126058744929,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
149,2014-05-30,0.3276666666666666,0.01753882276982581,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
150,2014-05-31,0.34033333333333327,0.017012658086731035,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
151,2014-06-01,0.3535555555555555,0.016502278344129102,44.0,0.0,17.6,26.4,11.0,0.0,10.0,0.0,0.0
152,2014-06-02,0.3685555555555555,0.01600720999380523,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
153,2014-06-03,0.3847777777777778,0.015526993693991074,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
154,2014-06-04,0.4,0.01506118388317134,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
155,2014-06-05,0.4158888888888889,0.014609348366676201,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
156,2014-06-06,0.4325555555555556,0.014171067915675914,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
157,2014-06-07,0.448,0.013745935878205637,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
158,2014-06-08,0.4646666666666667,0.013333557801859467,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
159,2014-06-09,0.48038888888888887,0.012933551067803683,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
160,2014-06-10,0.4948333333333333,0.012545544535769573,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
161,2014-06-11,0.5099444444444444,0.012169178199696486,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
162,2014-06-12,0.5241111111111111,0.011804102853705591,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
163,2014-06-13,0.5402777777777777,0.011449979768094424,44.0,0.0,17.599999999999998,26.4,11.0,0.0,10.0,0.0,0.0
164,2014-06-14,0.5566111111111111,0.01110648037505159,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
165,2014-06-15,0.5732777777777778,0.010773285963800042,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
166,2014-06-16,0.5899444444444445,0.010450087384886042,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
167,2014-06-17,0.6066111111111112,0.01013658476333946,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
168,2014-06-18,0.6232777777777779,0.009832487220439277,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
169,2014-06-19,0.6399444444444446,0.009537512603826098,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
170,2014-06-20,0.656277777777778,0.009251387225711316,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
171,2014-06-21,0.6716666666666669,0.008973845608939976,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
172,2014-06-22,0.6869444444444446,0.008704630240671776,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
173,2014-06-23,0.7011111111111112,0.008443491333451623,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
174,2014-06-24,0.7166666666666668,0.008190186593448074,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
175,2014-06-25,0.7333333333333335,0.007944480995644631,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
176,2014-06-26,0.7500000000000002,0.007706146565775293,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
177,2014-06-27,0.7666666666666669,0.007474962168802033,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
178,2014-06-28,0.7833333333333337,0.007250713303737972,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
179,2014-06-29,0.7997222222222226,0.007033191904625833,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
180,2014-06-30,0.8163333333333337,0.006822196147487057,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
181,2014-07-01,0.8330000000000004,0.006617530263062446,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
182,2014-07-02,0.8496666666666671,0.006419004355170573,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
183,2014-07-03,0.8663333333333338,0.006226434224515456,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
184,2014-07-04,0.8830000000000006,0.006039641197779992,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
185,2014-07-05,0.8996666666666673,0.005858451961846593,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
186,2014-07-06,0.9157777777777784,0.005682698402991195,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
187,2014-07-07,0.9324444444444451,0.005512217450901459,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
188,2014-07-08,0.9491111111111118,0.005346850927374415,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
189,2014-07-09,0.9657777777777785,0.005186445399553183,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
190,2014-07-10,0.9824444444444452,0.005030852037566588,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
191,2014-07-11,0.999111111111112,0.00487992647643959,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
192,2014-07-12,1.0,0.004733528682146402,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
193,2014-07-13,1.03,0.0045915228216820096,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
194,2014-07-14,1.06,0.004453777137031548,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
195,2014-07-15,1.09,0.0043201638229206024,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
196,2014-07-16,1.12,0.004190558908232984,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
197,2014-07-17,1.1500000000000001,0.0040648421409859945,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
198,2014-07-18,1.1800000000000002,0.003942896876756414,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
199,2014-07-19,1.2100000000000002,0.0038246099704537222,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
200,2014-07-20,1.2400000000000002,0.0037098716713401102,43.99999999999999,0.0,17.599999999999994,26.4,11.0,0.0,10.0,0.0,0.0
